epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,1.5167079215699977,0.4371966738253832,1.2315151184797286,0.56484375,0.0009990133642141358,191.5435974597931
2,1.045998435636813,0.6249383483082056,0.966353751718998,0.6564453125,0.000996057350657239,168.31522393226624
3,0.8735535590147431,0.6894481928849762,0.7567653078585863,0.733203125,0.0009911436253643444,197.48453664779663
4,0.7753980705006556,0.7290655579417944,0.7038687236607075,0.7498046875,0.0009842915805643156,201.40652346611023
5,0.7099813363430175,0.7526436238126322,0.6620765455067158,0.7650390625,0.0009755282581475769,168.23657751083374
6,0.6559593236412514,0.7733018662441861,0.6580159157514572,0.7779296875,0.0009648882429441258,190.91176629066467
7,0.6237030542370948,0.7828208846463398,0.5933612551540136,0.80078125,0.0009524135262330099,179.3524830341339
8,0.5844060064039447,0.7978145715526559,0.5936805550009012,0.79609375,0.0009381533400219318,179.6777548789978
9,0.5496149084276774,0.809696081856435,0.5599242266267538,0.8138671875,0.0009221639627510075,178.77782773971558
10,0.5291396580128507,0.8175924281505021,0.528483385592699,0.8220703125,0.0009045084971874736,175.10511708259583
11,0.5138124967501922,0.8231558752330866,0.4780266162008047,0.8353515625,0.0008852566213878945,192.5266785621643
12,0.4899917548014359,0.8312914298677986,0.46051535569131374,0.8439453125,0.0008644843137107056,197.5257933139801
13,0.47166273840279743,0.8368869357827035,0.47762599736452105,0.8375,0.0008422735529643443,172.32367253303528
14,0.45363087401810015,0.842899206856435,0.4630286540836096,0.8447265625,0.0008187119948743448,168.39006924629211
15,0.4440626629035581,0.8486352786421776,0.4683131932280958,0.8431640625,0.0007938926261462366,171.72154188156128
16,0.42965726160698314,0.8498683119700714,0.43936093971133233,0.85078125,0.0007679133974894982,2859.1408307552338
17,0.41143236245790665,0.8570248383012685,0.42398829068988564,0.855078125,0.0007408768370508576,152.63060665130615
18,0.4003607467748225,0.8608102508905259,0.4336970720440149,0.8533203125,0.0007128896457825362,159.67233514785767
19,0.3941134244880893,0.8647386954927986,0.47032615952193735,0.8451171875,0.0006840622763423389,163.65883708000183
20,0.3787080972370776,0.8691282946277749,0.44451156370341777,0.84921875,0.0006545084971874735,162.62281036376953
21,0.3727462359026752,0.8719149502840909,0.4210601279512048,0.855078125,0.0006243449435824271,160.2792296409607
22,0.3569788289764388,0.8760209517045454,0.43447728562168775,0.8556640625,0.0005936906572928622,168.120845079422
23,0.3526732297190888,0.8790468158708378,0.4149111359845847,0.8599609375,0.000562666616782152,173.69561862945557
24,0.3411063757217066,0.8822921599176797,0.415490377927199,0.86328125,0.0005313952597646566,168.35316371917725
25,0.3314825995740565,0.8849678425626322,0.4053727830760181,0.8671875,0.0004999999999999998,159.48533487319946
26,0.32272504092278803,0.8871404474431818,0.3904001135379076,0.869140625,0.00046860474023534314,162.47356367111206
27,0.3144500587474216,0.8921219025823203,0.3809277314227074,0.8712890625,0.00043733338321784774,165.16690611839294
28,0.30609395422718744,0.8951551650058139,0.38312181471846996,0.869921875,0.00040630934270713756,161.8430688381195
29,0.30378510239957407,0.8953598485412922,0.39933168366551397,0.8630859375,0.00037565505641757246,168.72169756889343
30,0.29508881842378865,0.8979442866349762,0.38266214160248635,0.871484375,0.00034549150281252633,163.40927600860596
31,0.2833593569018624,0.9024719854986126,0.36485617188736796,0.87890625,0.00031593772365766105,168.69380497932434
32,0.27913505118340254,0.9010022096335888,0.3775059233419597,0.8732421875,0.00028711035421746355,167.4312994480133
33,0.27079980488104577,0.906203144653277,0.37144377497024833,0.8806640625,0.0002591231629491422,170.16611433029175
34,0.26958554170348425,0.9064448193054307,0.3720879888162017,0.8755859375,0.00023208660251050145,166.4860246181488
35,0.25965304513969883,0.9106174045327035,0.3699567465810105,0.8794921875,0.00020610737385376337,159.0916886329651
36,0.2579263186251575,0.9101537838578224,0.3688374677672982,0.8798828125,0.00018128800512565502,164.72374367713928
37,0.2515764019494368,0.9124570903791622,0.36320520045701415,0.8837890625,0.00015772644703565555,158.96806526184082
38,0.24644102380526337,0.9158997198736126,0.3659685869701207,0.881640625,0.00013551568628929425,162.0763111114502
39,0.24204786399125375,0.9164397885853593,0.367535687959753,0.88046875,0.00011474337861210535,158.63497138023376
40,0.2391443913167512,0.9164841777899049,0.3595772810745984,0.8828125,9.549150281252626e-05,160.47001004219055
41,0.23579217800447208,0.9176284327087078,0.3697278113802895,0.88125,7.783603724899252e-05,158.33819484710693
42,0.2315941808152605,0.9192017834972251,0.3661457619862631,0.8828125,6.184665997806817e-05,158.32392001152039
43,0.22861172474751418,0.9207430752840909,0.36165606272406875,0.882421875,4.7586473766990294e-05,157.65206909179688
44,0.22810554466294972,0.9203337082131342,0.3627246956573799,0.8828125,3.5111757055874305e-05,158.75028944015503
45,0.22874975128268654,0.9204520793123678,0.3592447324423119,0.8845703125,2.4471741852423218e-05,158.49113655090332
46,0.22517786103046752,0.9224668560041622,0.3607148217735812,0.883984375,1.5708419435684507e-05,158.67124390602112
47,0.22201143122616818,0.9235913826322014,0.3588579245842993,0.884765625,8.856374635655634e-06,159.14778995513916
48,0.22416636248288507,0.9240352746776559,0.35826034110505134,0.8849609375,3.942649342761115e-06,160.2907259464264
49,0.22385259954766792,0.9217664931308139,0.36046294663101436,0.883984375,9.866357858642198e-07,159.14898371696472
50,0.2235136826056987,0.9235889164900238,0.36069046831689777,0.884375,0.0,159.38221549987793
